"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Bayan AlOlayan","Real Estate Development Fund","Supply of Technical Support Licenses for Microsoft Systems","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2680","0","11/08/2026"
"Ali Bin Zeair","Pulse by solutions","PKSA-RFQ-123 - OPP-009740","4-Submitted - Under Evaluation","31/12/2026","18/08/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2681","706890","25/08/2026"
"Osayed Shadid","Saudi Red Crescent Authority","Operation and maintenance of telecommunications and IT services in the central, eastern, and northern regions","4-Submitted - Under Evaluation","25/11/2026","18/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Etimad","SF-2026-2682","20964178","17/09/2026"
"Rawan AlMusayid","Ministry of Commerce","MPO - STCSQR-25322","4-Submitted - Under Evaluation","30/11/2026","18/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2683","469486","23/08/2026"
"Khalid AlEnezi","General Authority for Military Industries","Local Content","7-Handover Completed","25/08/2026","18/08/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2684","48193","25/08/2026"
"Abdullah Alfawaz","Ministry of Culture","Providing business analysis and project management services","4-Submitted - Under Evaluation","29/11/2026","18/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2685","6031049","23/08/2026"
"Khalid AlEnezi","AFC Asian Cup Saudi Arabia 2027 Local Organizing committee","Design And Delivery of Visitor & Fan Care Customer Experience WO2","4-Submitted - Under Evaluation","30/12/2026","18/08/2026","Sales & BD 2","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2026-2686","858609","20/08/2026"
"Abdullah Alfawaz","Umm Al-Qura University","Technical support for Administrative and Financial Resource Management ERP system for year 2027-Umm AlQura University","1-Identified","29/11/2026","19/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","","SF-2026-2687","13000000","03/09/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal for CAM","7-Handover Completed","15/09/2026","19/08/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2688","353727","20/08/2026"
"Rawan AlMusayid","Ministry of Environment Water and Agriculture","Command Center -  phase 2","7-Handover Completed","15/09/2026","19/08/2026","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2026-2689","7210941","30/08/2026"
"Osayed Shadid","Al-Balaghah Group","D365 Digital Financial & Operations Managed Services","7-Handover Completed","24/08/2026","20/08/2026","Sales & BD 1","RFQ","Sell Direct","F&A","Non Etimad","SF-2026-2690","2640750","24/08/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-25295","4-Submitted - Under Evaluation","30/10/2026","20/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2691","790292","03/09/2026"
"Ali Bin Zeair","Pulse by solutions","Saudi National Day Pulse","4-Submitted - Under Evaluation","31/10/2026","20/08/2026","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2026-2692","84000","25/08/2026"
"Abdullah Awleyaa","Rubrik","Facility Phase 1","4-Submitted - Under Evaluation","15/12/2026","20/08/2026","Sales & BD 1","RFP","Sell Direct","Facility Management","Non Etimad","SF-2026-2693","5550313","27/08/2026"
"Khalid AlEnezi","MOD - Armed Forces","Resources for Armed Forces","4-Submitted - Under Evaluation","31/12/2026","22/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2694","2514321","27/08/2026"
"Khalid AlEnezi","MOD - Armed Forces","Supply and Provision of Satellite Communication Systems","4-Submitted - Under Evaluation","31/12/2026","22/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2695","6000000","27/08/2026"
"Khalid AlEnezi","Presidency of State Security.","Technical Support Services for the contact Center","4-Submitted - Under Evaluation","31/12/2026","22/08/2026","Sales & BD 1","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2026-2696","7188458","27/08/2026"
"Khalid AlEnezi","Decision support center","Managed Services Project","2-To Be Qualified","31/12/2026","22/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2697","30000000","27/08/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-25365","4-Submitted - Under Evaluation","28/10/2026","23/08/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2698","33082","24/08/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","CX stc 4 recourses","4-Submitted - Under Evaluation","28/10/2026","23/08/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2699","2541026","27/08/2026"
"Rawan AlMusayid","Ministry of Economy & Planning","MPO -Renewal of Licenses and Technical Support for the Systems and Applications of the Ministry of Economy and Planning.","4-Submitted - Under Evaluation","31/12/2026","23/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2700","37060460","27/08/2026"
"Ali Bin Zeair","Solutions by stc","12 Cars - Satellite Field Services","4-Submitted - Under Evaluation","15/10/2026","23/08/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2701","100000","24/08/2026"
"Meshari Aljurbua","Center3","Data Center - Passive work","1-Identified","23/11/2026","23/08/2026","STC & Sub","RFQ","Sell Through solutions","F&A","Non Etimad","SF-2026-2702","0","31/08/2026"
"Osayed Shadid","Ministry of Health","Innovation Lab Execution","4-Submitted - Under Evaluation","15/11/2026","23/08/2026","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2026-2703","3980000","26/08/2026"
"Osayed Shadid","Health Holding Company","R1 - Dental Clinics Call Center","6-Dropped","16/09/2026","23/08/2026","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2026-2705","0","16/09/2026"
"Ali Bin Zeair","Solutions by stc","LEAP ? Shuttle Service Schedule","4-Submitted - Under Evaluation","14/10/2026","23/08/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Etimad","SF-2026-2706","10000","24/08/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Resources Template","4-Submitted - Under Evaluation","14/10/2026","23/08/2026","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2707","1415623","25/08/2026"
"Bayan AlOlayan","THIQAH","NCGR Rental building","4-Submitted - Under Evaluation","30/11/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","Facility Management","Non Etimad","SF-2026-2708","34783528","26/08/2026"
"Abdullah Alfawaz","SELA Company","Crowd Management and Operation Management - STC","4-Submitted - Under Evaluation","22/12/2026","23/08/2026","Sales & BD 2","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2709","2000000","25/08/2026"
"Abdullah Alfawaz","Bahah Emirates","????? ?????? ????? ?????? ????? ????????? ??????? ?????? (??????? ???????) ?????? ??????? ?????????? ????????","1-Identified","30/11/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2710","300000","06/11/2026"
"Abdullah Alfawaz","Entrustment and Liquidation Center - Infath","????? ?????? ???? ???? ?????? ?????? ??????? ????????? ???????? GRC ????????? ???????? ????? ??????? ???????? ?????","1-Identified","30/11/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2711","300000","06/11/2026"
"Abdullah Alfawaz","Imam University","????? ????? ????? ?????? ??????? ?????? ??????????? ?????? ????????? ?????????? ??????? ????? ?????? ??? ?????? ?? ????","1-Identified","27/10/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2712","320000","04/09/2026"
"Abdullah Alfawaz","Hail Emirates","????? ?????? ???? ????? ?????????","1-Identified","28/11/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2713","310000","30/08/2026"
"Abdullah Alfawaz","Ministry of Interior - Special Forces For Environmental Security","????? ??? ??????? ?????? ????? ?????? ??????? ??????? ??????? ???????","1-Identified","29/11/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2714","310000","28/08/2026"
"Abdullah Alfawaz","General Directorate of Mujahideen (GDM)","????? ??? ????? ????? ??????? ?????? ??????? ?????? ????????? ???????? ?????? ?????????","1-Identified","23/11/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2026-2715","400000","18/08/2026"
"Malak AlSuhaim","SELA Company","Legal Contract Management Platform (SELA)- STC","1-Identified","30/11/2026","23/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2026-2716","2000000","25/08/2026"
"Osayed Shadid","General Authority of Civil Aviation","GACA Innovation Lab","4-Submitted - Under Evaluation","23/11/2026","24/08/2026","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2026-2717","4180218","30/08/2026"
"Osayed Shadid","Ministry of Industry And Mineral Resources","Event Crowd Management Services","7-Handover Completed","09/09/2026","24/08/2026","Sales & BD 1","RFQ","Sell Through solutions","Event Management","Non Etimad","SF-2026-2718","498974","30/08/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Saudi Procurement & Contracts Specialist","4-Submitted - Under Evaluation","30/11/2026","24/08/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2719","242964","27/08/2026"
"Fajer Alsalloum","Riyadh Expo 2030 Company","Mini Bid - IT Outsource Managed Services","6-Lost","21/09/2026","24/08/2026","Giga","RFP","Sell Direct","MPO","Non Etimad","SF-2026-2720","4439178","25/08/2026"
"Fajer Alsalloum","SAUDI BASIC INDUSTRIES CO.(SABIC)","RFx  5500808329","4-Submitted - Under Evaluation","13/12/2026","25/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Non Etimad","SF-2026-2722","860712","27/08/2026"
"Ali Bin Zeair","Solutions by stc","UDC Event","4-Submitted - Under Evaluation","16/10/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2026-2723","175000","27/08/2026"
"Meshari Aljurbua","iotsquered","iBMS Project Resources","4-Submitted - Under Evaluation","16/11/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2724","3312183","30/08/2026"
"Ali Bin Zeair","Solutions by stc","Quality Assurance Services","7-Handover Completed","31/08/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","F&A","Non Etimad","SF-2026-2725","440000","27/08/2026"
"Ali Bin Zeair","Solutions by stc","F&A Suppourt","7-Handover Completed","27/08/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","F&A","Non Etimad","SF-2026-2726","209360","27/08/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-25005","4-Submitted - Under Evaluation","16/10/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2026-2727","1901250","06/09/2026"
"Ali Bin Zeair","Pulse by solutions","PKSA-RFQ-153","4-Submitted - Under Evaluation","19/11/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2728","422118","02/09/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-25266 Programming Day 2026","4-Submitted - Under Evaluation","23/10/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2026-2729","59775","02/09/2026"
"Ali Bin Zeair","Pulse by solutions","PKSA-RFQ-162 - FEP | KSA Onsite Resource | DevOps","4-Submitted - Under Evaluation","27/11/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2730","471073","05/09/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","STC - Modernizing core infrastructure for efficiency and scale","4-Submitted - Under Evaluation","30/10/2026","26/08/2026","STC & Sub","RFQ","Sell Direct","F&A","Non Etimad","SF-2026-2731","1498173","02/09/2026"
"Fajer Alsalloum","Saudi Aramco","Aramco WH Services 26","6-Won","30/08/2026","27/08/2026","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2026-2732","127749","30/08/2026"
"Fajer Alsalloum","National Water Company","SAM","2-To Be Qualified","27/12/2026","30/08/2026","Sales & BD 1","RFP","Sell Direct","Facility Management","Non Etimad","SF-2026-2733","30000000","17/09/2026"
"Fajer Alsalloum","National Water Company","Social Media and Event Management","1-Identified","30/12/2026","30/08/2026","Sales & BD 1","RFP","Sell Direct","Event Management","Non Etimad","SF-2026-2734","4000000","29/11/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Cybersecurity Specialist 1","4-Submitted - Under Evaluation","31/10/2026","30/08/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2735","132000","02/09/2026"
"Fajer Alsalloum","Principal Buyer Oil and Gas","Cybersecurity Specialist 2","4-Submitted - Under Evaluation","29/10/2026","30/08/2026","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2736","132000","03/09/2026"
"Meshari Aljurbua","Devoteam Company Saudi Limited","BPM Consultant Contracting (renewal)","4-Submitted - Under Evaluation","10/11/2026","30/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2737","513969","13/09/2026"
"Rawan AlMusayid","Saudi Credit Bank","????? ??????? ??????? ??????? ???????","6-Dropped","01/09/2026","30/08/2026","Sales & BD 1","RFP","Sell Direct","Event Management","Etimad","SF-2026-2741","0","30/08/2026"
"Rawan AlMusayid","Government Expenditure and Project Efficiency Authority","????? ?????? ???? ????? ???? ??? ???????? ???? ????","6-Dropped","01/09/2026","30/08/2026","Sales & BD 1","RFP","Sell Direct","Facility Management","Etimad","SF-2026-2742","0","30/08/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","2026 Consultancy Budget - Infra","7-Handover Completed","01/09/2026","30/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2743","7000000","30/08/2026"
"Rawan AlMusayid","Digital Government Authority","CR Amer","2-To Be Qualified","30/12/2026","30/08/2026","Sales & BD 1","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2026-2744","1400000","30/08/2026"
"Rawan AlMusayid","Digital Government Authority","CR (Design and Operation of the Government Digital Content Excellence Unit)","2-To Be Qualified","30/12/2026","30/08/2026","Sales & BD 1","RFQ","Sell Through solutions","Event Management","Non Etimad","SF-2026-2745","2065217","30/08/2026"
"Mohammad Alajlan","Solutions by stc","Senior SCM consultant","4-Submitted - Under Evaluation","01/11/2026","30/08/2026","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2026-2746","689661","31/08/2026"
"Fajer Alsalloum","Saudi Aramco","System Engineer","1-Identified","30/11/2026","30/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2747","250000","03/09/2026"
"Fajer Alsalloum","Mukamalah - Aloula Aviation","IT ASSETS LEASE_OP-2026-165383","4-Submitted - Under Evaluation","13/12/2026","30/08/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-2748","3585498","09/09/2026"
"Fajer Alsalloum","Ministry of Energy","MoE Voice Agent","2-To Be Qualified","20/12/2026","30/08/2026","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2026-2749","3500000","03/09/2026"
"Osayed Shadid","Saudi Post","Warehousing Managment","1-Identified","31/12/2026","30/08/2026","Sales & BD 1","RFI","Sell Direct","SCM","Non Etimad","SF-2026-2750","0","31/12/2026"
"Osayed Shadid","The National Unified Procurement Company","fulfillment and logistics managed-services","1-Identified","31/12/2026","30/08/2026","Sales & BD 1","RFI","Sell Direct","SCM","Non Etimad","SF-2026-2751","0","31/12/2026"
"Osayed Shadid","Jahez","CLM opportunities","1-Identified","31/12/2026","30/08/2026","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2026-2752","0","31/12/2026"
"Osayed Shadid","Roads General Authority","inspection-as-a-service model","1-Identified","31/12/2026","30/08/2026","Sales & BD 1","RFI","Sell Direct","SCM","Non Etimad","SF-2026-2753","0","31/12/2026"
